Date,A,AAPL,ABNB,ADBE,AEE,AEP,AES,AFL,ALLE,AMCR,AMD,AMT,AMZN,AOS,APD,ARE,AWK,BRK-B,GOOG,GS,JPM,LLY,LNT,MMM,MRK,MSFT,NFLX,NVDA,TSLA,UBS,XOM
2023-10-30,101.16999816894531,170.2899932861328,116.94999694824219,526.9400024414062,75.04000091552734,75.41000366210938,14.949999809265137,77.4000015258789,97.70999908447266,8.859999656677246,96.18000030517578,172.63999938964844,132.7100067138672,69.48999786376953,280.70001220703125,93.02999877929688,116.70999908447266,337.4100036621094,125.75,300.8299865722656,137.4199981689453,565.7100219726562,48.47999954223633,74.84949493408203,102.68000030517578,337.30999755859375,410.0799865722656,41.1609992980957,197.36000061035156,23.709999084472656,105.87999725341797
2023-10-31,103.37000274658203,170.77000427246094,118.29000091552734,532.0599975585938,75.70999908447266,75.54000091552734,14.899999618530273,78.11000061035156,98.36000061035156,8.890000343322754,98.5,178.19000244140625,133.08999633789062,69.76000213623047,282.44000244140625,93.12999725341797,117.6500015258789,341.3299865722656,125.30000305175781,303.6099853515625,139.05999755859375,553.9299926757812,48.790000915527344,76.04515075683594,102.69999694824219,338.1099853515625,411.69000244140625,40.779998779296875,200.83999633789062,23.459999084472656,105.8499984741211
2023-11-01,102.86000061035156,173.97000122070312,119.47000122070312,544.5,76.83999633789062,76.4800033569336,14.850000381469727,79.05000305175781,98.91999816894531,8.710000038146973,108.04000091552734,178.3800048828125,137.0,70.80999755859375,283.4100036621094,92.9000015258789,118.80000305175781,343.75,127.56999969482422,307.1600036621094,138.94000244140625,554.4600219726562,49.5,75.71906280517578,102.8499984741211,346.07000732421875,420.19000244140625,42.32500076293945,205.66000366210938,24.030000686645508,105.63999938964844
2023-11-02,104.47000122070312,177.57000732421875,115.5,558.7100219726562,78.12000274658203,79.23999786376953,15.5,81.7300033569336,99.12999725341797,8.8100004196167,107.83000183105469,184.14999389648438,138.07000732421875,71.3499984741211,289.6199951171875,97.87000274658203,124.48999786376953,349.0199890136719,128.5800018310547,313.760009765625,141.4199981689453,580.2899780273438,50.2599983215332,77.1822738647461,102.8499984741211,348.32000732421875,424.7099914550781,43.50600051879883,218.50999450683594,24.299999237060547,109.11000061035156
2023-11-03,109.0199966430664,176.64999389648438,122.63999938964844,563.6599731445312,78.51000213623047,79.72000122070312,16.790000915527344,82.2300033569336,101.88999938964844,9.109999656677246,112.25,190.57000732421875,138.60000610351562,71.55999755859375,293.20001220703125,102.31999969482422,130.0399932861328,351.80999755859375,130.3699951171875,327.6199951171875,143.0,567.8099975585938,51.099998474121094,78.47826385498047,103.37999725341797,352.79998779296875,432.3599853515625,45.005001068115234,219.9600067138672,24.469999313354492,107.77999877929688
2023-11-06,107.52999877929688,179.22999572753906,118.16999816894531,565.4500122070312,78.27999877929688,79.25,16.34000015258789,81.4000015258789,101.7300033569336,9.0600004196167,111.75,186.6999969482422,139.74000549316406,71.08999633789062,291.29998779296875,101.25,127.58000183105469,346.6300048828125,131.4499969482422,323.9100036621094,144.0800018310547,595.1900024414062,50.439998626708984,78.19397735595703,104.33999633789062,356.5299987792969,434.739990234375,45.750999450683594,219.27000427246094,24.350000381469727,105.87000274658203
2023-11-07,110.54000091552734,181.82000732421875,121.08000183105469,585.2000122070312,78.0,78.8499984741211,16.139999389648438,80.9800033569336,101.41000366210938,9.050000190734863,113.44999694824219,185.4499969482422,142.7100067138672,70.6500015258789,254.4600067138672,99.5999984741211,126.86000061035156,346.1700134277344,132.39999389648438,323.95001220703125,144.00999450683594,599.9299926757812,50.0,77.88461303710938,104.0,360.5299987792969,434.6099853515625,45.95500183105469,222.17999267578125,24.920000076293945,104.20999908447266
2023-11-08,109.38999938964844,182.88999938964844,117.66000366210938,585.3099975585938,77.58999633789062,78.1500015258789,16.219999313354492,80.31999969482422,102.06999969482422,9.069999694824219,113.58999633789062,184.4199981689453,142.0800018310547,71.13999938964844,259.92999267578125,99.94000244140625,126.13999938964844,346.29998779296875,133.25999450683594,324.55999755859375,144.72000122070312,619.1300048828125,49.61000061035156,77.19063568115234,104.4000015258789,363.20001220703125,436.6499938964844,46.57400131225586,222.11000061035156,24.780000686645508,102.93000030517578
2023-11-09,107.73999786376953,182.41000366210938,115.5199966430664,577.739990234375,76.0999984741211,77.26000213623047,15.630000114440918,80.9000015258789,101.12999725341797,8.989999771118164,113.48999786376953,181.83999633789062,140.60000610351562,71.37000274658203,263.989990234375,94.58000183105469,124.2699966430664,348.17999267578125,131.69000244140625,320.7799987792969,144.2899932861328,591.3200073242188,48.61000061035156,76.6722412109375,102.37999725341797,360.69000244140625,435.1499938964844,46.95000076293945,209.97999572753906,24.510000228881836,102.95999908447266
2023-11-10,108.47000122070312,186.39999389648438,118.1500015258789,597.219970703125,76.2699966430664,77.69999694824219,15.699999809265137,81.4800033569336,103.48999786376953,9.069999694824219,118.58999633789062,183.7899932861328,143.55999755859375,72.81999969482422,265.4599914550781,95.66000366210938,123.5,350.55999755859375,134.05999755859375,325.510009765625,146.42999267578125,597.7100219726562,48.56999969482422,77.60033416748047,101.38999938964844,369.6700134277344,447.239990234375,48.334999084472656,214.64999389648438,24.540000915527344,103.75
